Agent,Justin Tan,13,true,Terraced House,Cyberia Crescent 1,100736014,Cyberia Crescent 1,Selangor,Cyberjaya,63000,Cyberia Crescent 1,-,11,-,380,2250,0.17,Freehold,Fully Furnished,8,6,0,24-Hours Security|Parking|BBQ|Gymnasium|Playground|Swimming Pool|Basketball Court|,Air Conditioner|Kitchen Cabinet|Balcony|,13Description.txt,13(1).png|13(2).png|13(3).png|13(4).png|13(5).png|13(6).png|,Comments|
Agent,Justin Tan,12,true,Apartment,Kanvas SOHO,100736015,Kanvas SOHO,Selangor,Cyberjaya,63000,Jalan Teknokrat 6 Off Persiaran Apec,E1,61,1,1100,485,2.27,Freehold,Fully Furnished,1,1,1,24-Hours Security|Parking|BBQ|Gymnasium|Jogging Track|Playground|Swimming Pool|Wading Pool|,Air Conditioner|Kitchen Cabinet|,12Description.txt,12(1).png|12(2).png|12(3).png|12(4).png|12(5).png|12(6).png|,Comments|
Owner,nora_ask78,1,true,Terraced House,Taman Pinggiran Cyber,92856469,Taman Pinggiran Cyber,Selangor,Cyberjaya,63000,Jalan Pc 3/2| Taman Pinggiran Cyber,-,23,-,1300,1100,1.18,Freehold,Partly Furnished,4,2,1,,Air Conditioner|Garden|,1Description.txt,1(1).jpg|1(2).jpg|1(3).jpg|1(4).jpg|1(5).jpg|,Comments|
Owner,snowidun,2,true,Semi Detached,Lake Point Residence,90733630,Lake Point Residence,Selangor,Cyberjaya,63000,Jalan LPR 4,-,12,-,5500,3434,1.60,Freehold,Unfurnished,6,5,3,24-Hours Security|Jogging Track|,,2Description.txt,2(1).jpg|2(2).jpg|2(3).jpg|2(4).jpg|2(5).jpg|2(6).jpg|,Comments|
Agent,Tracy Loi,18,true,Apartment,HYVE,102537695,HYVE,Selangor,Cyberjaya,63000,Jalan Impact,C1,13,1,1000,450,2.22,Freehold,Fully Furnished,Studio,1,1,24-Hours Security|Parking|Gymnasium|Swimming Pool|,Air Conditioner|Kitchen Cabinet|Garage|,18Description.txt,18(1).png|18(2).png|18(3).png|18(4).png|18(5).png|18(6).png|,Comments|
Agent,Kent Fatt,26,true,Apartment,Teeland Group,33502866,Third Avenue,Selangor,Cyberjaya,63000,Third Avenue Jalan Teknokrat 3| Cyber 4,F,22,6,1700,990,1.72,Freehold,Partly Furnished,2,2,2,24-Hours Security|Parking|Gymnasium|Swimming Pool|,Air Conditioner|Fridge|Washing Machine|,26Description.txt,26(1).jpg|26(2).jpg|26(3).jpg|26(4).jpg|26(5).jpg|26(6).jpg|26(7).jpg|,Comments|
Owner,rafi,3,true,Terraced House,Taman Pinggiran,90950269,Taman Pinggiran Cyb,Selangor,Cyberjaya,63000,Jalan Pc 3/5| Taman Pinggiran Cyber,-,85,-,1200,1400,0.86,Freehold,Fully Furnished,4,2,2,Parking|Jogging Track|Playground|,Washing Machine|,3Description.txt,3(1).jpg|3(2).jpg|3(3).jpg|3(4).jpg|3(5).jpg|3(6).jpg|,Comments|
Owner,hezli,4,true,Condominium,Verdi ecodominium,92822707,Verdi ecodominium,Selangor,Cyberjaya,63000,Verdi Residence| Persiaran Bestari| Cyber 9,3,2,43,1650,700,2.36,Freehold,Fully Furnished,1,1,1,24-Hours Security|Parking|Gymnasium|Playground|Swimming Pool|,Balcony|Fridge|Washing Machine|,4Description.txt,4(1).jpg|4(2).jpg|4(3).jpg|4(4).jpg|4(5).jpg|,Comments|
Owner,Jen Cpj,8,true,Condominium,Mutiara Ville,92719467,Mutiara Ville,Selangor,Cyberjaya,63000,Mutiara Ville Residence| Persiaran Sepang| Cyber 11,C,18,20,1600,1180,1.36,Freehold,Fully Furnished,4,3,2,24-Hours Security|Parking|BBQ|Gymnasium|Jogging Track|Playground|Swimming Pool|Squash Court,Air Conditioner|Garage|Fridge|,8Description.txt,8(1).jpg|8(2).jpg|8(3).jpg|8(4).jpg|8(5).jpg|8(6).jpg|,Comments|
Owner,Kumaran,9,true,Condominium,Cyberia Smarthome,92608655,Cyberia Smarthome,Selangor,Cyberjaya,63000,Jalan Cyberia 1| Cyber 11,A,10,9,900,925,0.97,Freehold,Unfurnished,Studio,3,2,24-Hours Security|Parking|Gymnasium|Playground|Swimming Pool|Tennis Court|,Air Conditioner|Washing Machine|,9Description.txt,9(1).jpg|,Comments|
Agent,Mr Chew,30,true,Condominium,Seri Mutiara Development Sdn Bhd,32789079,Mutiara Ville @ Cyberjaya,Selangor,Cyberjaya,63000,Persiaran Sepang Off Persiaran Multimedia,G,6,24,1300,1000,1.30,Freehold,Fully Furnished,3,2,2,24-Hours Security|Parking|BBQ|Gymnasium|Playground|Swimming Pool|Wading Pool|Squash Court,Air Conditioner|Kitchen Cabinet|Balcony|Fridge|Washing Machine|,30Description.txt,30(1).jpg|30(2).jpg|30(3).jpg|30(4).jpg|30(5).jpg|30(6).jpg|,Comments|
Owner,Emy Mohd Nor,10,true,Apartment,The Domain,92481067,The Domain,Selangor,Cyberjaya,63000,taman neocyber Jalan lingkaran 23,3,10,3,850,550,1.55,Freehold,Partly Furnished,1,1,1,24-Hours Security|Parking|,Air Conditioner|Garage|,10Description.txt,10(1).jpg|10(2).jpg|10(3).jpg|10(4).jpg|,Comments|
Agent,Justin Tan,11,true,Condominium,Tamarind Suites,100736002,Tamarind Suites,Selangor,Cyberjaya,63000,Persiaran Sepang Off Persiaran Multimedia,D3,11,3,800,403,1.99,Freehold,Partly Furnished,Studio,1,1,24-Hours Security|Parking|BBQ|Gymnasium|Jogging Track|Playground|Swimming Pool|Wading Pool|Sauna|,,11Description.txt,11(1).png|11(2).png|11(3).png|11(4).png|11(5).png|11(6).png|,Comments|
